evidence_id,event_id,source_a_id,source_a_type,source_b_id,source_b_type,timestamp_a,timestamp_b,spatial_residual_km,temporal_residual_h,drift_residual_km,ais_gap_ratio,sensor_confidence,observation_count,forcing_quality,relation,reason,provenance
EVT0008-EV-F2F3,EVT0008,EVT0008-OBS001,F2_DRIFT,EVT0008-HBEST,F3_FORCING,2026-01-11T09:04:06Z,2026-01-12T03:40:53Z,0.1606,0.0,0.1606,,0.9473,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 10.1 km),"F2:EVT0008-OBS000,EVT0008-OBS001|F3:EVT0008-HBEST"
EVT0008-EV-F3F4-425068991,EVT0008,EVT0008-HBEST,F3_SOURCE_HYPOTHESIS,EVT0008-425068991,F4_VESSEL_TRACK,2026-01-10T15:04:08Z,2026-01-11T01:23:39Z,7.712,10.3999,21.138,0.0149,0.9473,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F3:EVT0008-HBEST|F4:EVT0008-425068991
EVT0008-EV-F3F4-394390438,EVT0008,EVT0008-HBEST,F3_SOURCE_HYPOTHESIS,EVT0008-394390438,F4_VESSEL_TRACK,2026-01-10T15:04:08Z,2026-01-11T14:10:36Z,22.958,23.0999,15.928,1.0,0.9473,7,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=22.96, temporal_residual_h=23.10",F3:EVT0008-HBEST|F4:EVT0008-394390438
EVT0008-EV-F3F4-649261623,EVT0008,EVT0008-HBEST,F3_SOURCE_HYPOTHESIS,EVT0008-649261623,F4_VESSEL_TRACK,2026-01-10T15:04:08Z,2026-01-11T15:01:20Z,24.804,23.9999,33.596,1.0,0.9473,7,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=24.80, temporal_residual_h=24.00",F3:EVT0008-HBEST|F4:EVT0008-649261623
EVT0008-EV-F3F4-527201014,EVT0008,EVT0008-HBEST,F3_SOURCE_HYPOTHESIS,EVT0008-527201014,F4_VESSEL_TRACK,2026-01-10T15:04:08Z,2026-01-11T04:25:38Z,46.777,13.2999,20.336,0.5452,0.9473,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=46.78>=40.0,F3:EVT0008-HBEST|F4:EVT0008-527201014
EVT0008-EV-F3F4-425372509,EVT0008,EVT0008-HBEST,F3_SOURCE_HYPOTHESIS,EVT0008-425372509,F4_VESSEL_TRACK,2026-01-10T15:04:08Z,2026-01-10T06:14:14Z,72.447,8.8001,26.772,0.0123,0.9473,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=72.45>=40.0,F3:EVT0008-HBEST|F4:EVT0008-425372509
EVT0009-EV-F1F2,EVT0009,EVT0009-OBS000,F1_DETECTION,EVT0009-OBS001,F2_STATE,2026-01-06T21:07:13Z,2026-01-07T15:58:32Z,0.0,18.8555,,,0.8952,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0009-OBS000|F2:EVT0009-OBS001
EVT0009-EV-F2F3,EVT0009,EVT0009-OBS001,F2_DRIFT,EVT0009-HBEST,F3_FORCING,2026-01-06T21:07:13Z,2026-01-07T15:58:32Z,1.1162,0.0,1.1162,,0.8952,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 34.0 km),"F2:EVT0009-OBS000,EVT0009-OBS001|F3:EVT0009-HBEST"
EVT0009-EV-F3F4-387800812,EVT0009,EVT0009-HBEST,F3_SOURCE_HYPOTHESIS,EVT0009-387800812,F4_VESSEL_TRACK,2026-01-06T15:02:49Z,2026-01-06T18:08:14Z,10.433,4.073,36.274,0.3437,0.8952,4,reanalysis-nominal,UNKNOWN,residuals in the grey band: spatial_residual_km=10.43,F3:EVT0009-HBEST|F4:EVT0009-387800812
EVT0009-EV-F3F4-387871080,EVT0009,EVT0009-HBEST,F3_SOURCE_HYPOTHESIS,EVT0009-387871080,F4_VESSEL_TRACK,2026-01-06T15:02:49Z,2026-01-05T22:11:02Z,15.787,16.927,32.114,0.921,0.8952,4,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=15.79, temporal_residual_h=16.93",F3:EVT0009-HBEST|F4:EVT0009-387871080
EVT0009-EV-F3F4-314502909,EVT0009,EVT0009-HBEST,F3_SOURCE_HYPOTHESIS,EVT0009-314502909,F4_VESSEL_TRACK,2026-01-06T15:02:49Z,2026-01-07T02:19:57Z,16.648,11.373,28.632,0.8331,0.8952,4,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=16.65, temporal_residual_h=11.37",F3:EVT0009-HBEST|F4:EVT0009-314502909
EVT0009-EV-F3F4-741731333,EVT0009,EVT0009-HBEST,F3_SOURCE_HYPOTHESIS,EVT0009-741731333,F4_VESSEL_TRACK,2026-01-06T15:02:49Z,2026-01-06T12:11:30Z,32.312,2.927,15.102,0.3857,0.8952,4,reanalysis-nominal,UNKNOWN,residuals in the grey band: spatial_residual_km=32.31,F3:EVT0009-HBEST|F4:EVT0009-741731333
EVT0009-EV-F3F4-405267985,EVT0009,EVT0009-HBEST,F3_SOURCE_HYPOTHESIS,EVT0009-405267985,F4_VESSEL_TRACK,2026-01-06T15:02:49Z,2026-01-06T22:28:23Z,71.822,7.473,21.804,0.1385,0.8952,4,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=71.82>=40.0,F3:EVT0009-HBEST|F4:EVT0009-405267985
EVT0010-EV-F1F2,EVT0010,EVT0010-OBS000,F1_DETECTION,EVT0010-OBS001,F2_STATE,2026-01-07T02:42:44Z,2026-01-07T20:51:16Z,0.0,18.142,,,0.967,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0010-OBS000|F2:EVT0010-OBS001
EVT0010-EV-F2F3,EVT0010,EVT0010-OBS001,F2_DRIFT,EVT0010-HBEST,F3_FORCING,2026-01-07T02:42:44Z,2026-01-07T20:51:16Z,0.8963,0.0,0.8963,,0.967,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 9.2 km),"F2:EVT0010-OBS000,EVT0010-OBS001|F3:EVT0010-HBEST"
EVT0010-EV-F3F4-405267985,EVT0010,EVT0010-HBEST,F3_SOURCE_HYPOTHESIS,EVT0010-405267985,F4_VESSEL_TRACK,2026-01-06T08:42:43Z,2026-01-06T10:45:44Z,10.965,1.4999,8.656,0.2614,0.967,7,reanalysis-nominal,UNKNOWN,residuals in the grey band: spatial_residual_km=10.96,F3:EVT0010-HBEST|F4:EVT0010-405267985
EVT0010-EV-F3F4-666296434,EVT0010,EVT0010-HBEST,F3_SOURCE_HYPOTHESIS,EVT0010-666296434,F4_VESSEL_TRACK,2026-01-06T08:42:43Z,2026-01-06T00:54:58Z,44.109,7.8001,14.76,0.5386,0.967,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=44.11>=40.0,F3:EVT0010-HBEST|F4:EVT0010-666296434
EVT0010-EV-F3F4-701271671,EVT0010,EVT0010-HBEST,F3_SOURCE_HYPOTHESIS,EVT0010-701271671,F4_VESSEL_TRACK,2026-01-06T08:42:43Z,2026-01-06T05:11:32Z,45.801,3.6001,18.7,0.4055,0.967,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=45.80>=40.0,F3:EVT0010-HBEST|F4:EVT0010-701271671
EVT0010-EV-F3F4-741731333,EVT0010,EVT0010-HBEST,F3_SOURCE_HYPOTHESIS,EVT0010-741731333,F4_VESSEL_TRACK,2026-01-06T08:42:43Z,2026-01-05T20:48:23Z,65.052,12.0001,34.954,0.0821,0.967,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=65.05>=40.0,F3:EVT0010-HBEST|F4:EVT0010-741731333
EVT0010-EV-F3F4-387871080,EVT0010,EVT0010-HBEST,F3_SOURCE_HYPOTHESIS,EVT0010-387871080,F4_VESSEL_TRACK,2026-01-06T08:42:43Z,2026-01-06T02:02:42Z,76.557,6.7001,24.272,0.4006,0.967,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=76.56>=40.0,F3:EVT0010-HBEST|F4:EVT0010-387871080
EVT0011-EV-F1F2,EVT0011,EVT0011-OBS000,F1_DETECTION,EVT0011-OBS001,F2_STATE,2026-01-08T13:23:16Z,2026-01-09T02:49:40Z,0.0,13.4399,,,0.9548,6,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0011-OBS000|F2:EVT0011-OBS001
EVT0011-EV-F2F3,EVT0011,EVT0011-OBS001,F2_DRIFT,EVT0011-HBEST,F3_FORCING,2026-01-08T13:23:16Z,2026-01-09T02:49:40Z,0.194,0.0,0.194,,0.9548,6,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 22.6 km),"F2:EVT0011-OBS000,EVT0011-OBS001|F3:EVT0011-HBEST"
EVT0011-EV-F3F4-611252685,EVT0011,EVT0011-HBEST,F3_SOURCE_HYPOTHESIS,EVT0011-611252685,F4_VESSEL_TRACK,2026-01-07T19:23:16Z,2026-01-08T03:22:03Z,28.529,8.9998,15.794,0.2714,0.9548,6,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=28.53, temporal_residual_h=9.00",F3:EVT0011-HBEST|F4:EVT0011-611252685
EVT0011-EV-F3F4-329813634,EVT0011,EVT0011-HBEST,F3_SOURCE_HYPOTHESIS,EVT0011-329813634,F4_VESSEL_TRACK,2026-01-07T19:23:16Z,2026-01-08T09:41:56Z,81.614,14.2998,37.58,1.0,0.9548,6,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=81.61>=40.0,F3:EVT0011-HBEST|F4:EVT0011-329813634
EVT0011-EV-F3F4-554315731,EVT0011,EVT0011-HBEST,F3_SOURCE_HYPOTHESIS,EVT0011-554315731,F4_VESSEL_TRACK,2026-01-07T19:23:16Z,2026-01-07T07:25:45Z,82.635,12.0002,25.934,0.0118,0.9548,6,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=82.64>=40.0,F3:EVT0011-HBEST|F4:EVT0011-554315731
EVT0011-EV-F3F4-725796285,EVT0011,EVT0011-HBEST,F3_SOURCE_HYPOTHESIS,EVT0011-725796285,F4_VESSEL_TRACK,2026-01-07T19:23:16Z,2026-01-08T02:16:28Z,89.918,6.8998,25.726,0.8325,0.9548,6,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=89.92>=40.0,F3:EVT0011-HBEST|F4:EVT0011-725796285
