event_id,source_hypothesis_id,ensemble_id,is_deterministic,source_lat,source_lon,source_x_km,source_y_km,origin_time_start,origin_time_end,origin_time_mid,origin_time_mid_sim_h,first_observation_sim_h,backtracked_hours,uncertainty_radius_km,wind_drift_factor,diffusion_m2s,seed_state_ids,qa_source_error_km,source_probability
EVT0006,EVT0006-H00,0,True,35.933729,21.839526,350.1187,103.9427,2026-01-05T14:04:23Z,2026-01-06T02:04:23Z,2026-01-05T20:04:23Z,20.073,38.073,18.0,1.225,0.032,9.0,EVT0006-OBS000,17.822,0.5312
EVT0006,EVT0006-H01,1,False,35.929636,21.845326,350.6476,103.4871,2026-01-05T14:34:29Z,2026-01-06T02:34:29Z,2026-01-05T20:34:29Z,20.575,38.073,17.498,7.197,0.03094,10.179,EVT0006-OBS000,17.431,0.0904
EVT0006,EVT0006-H02,2,False,35.930645,21.848686,350.954,103.5994,2026-01-05T12:23:20Z,2026-01-06T00:23:20Z,2026-01-05T18:23:20Z,18.389,38.073,19.684,7.183,0.03819,6.996,EVT0006-OBS000,17.586,0.0906
EVT0006,EVT0006-H03,3,False,35.938525,21.853866,351.4263,104.4766,2026-01-05T10:51:34Z,2026-01-05T22:51:34Z,2026-01-05T16:51:34Z,16.86,38.073,21.213,7.274,0.04457,10.457,EVT0006-OBS000,18.527,0.0895
EVT0006,EVT0006-H04,4,False,35.934635,21.836392,349.833,104.0436,2026-01-05T12:51:45Z,2026-01-06T00:51:45Z,2026-01-05T18:51:45Z,18.863,38.073,19.211,6.494,0.03345,10.702,EVT0006-OBS000,17.896,0.1002
EVT0006,EVT0006-H05,5,False,35.912713,21.869912,352.8896,101.6033,2026-01-05T18:51:53Z,2026-01-06T06:51:53Z,2026-01-06T00:51:53Z,24.865,38.073,13.208,6.636,0.04296,10.375,EVT0006-OBS000,16.055,0.0981
EVT0006,EVT0006-HBEST,-1,False,35.933729,21.839526,350.1187,103.9427,2026-01-05T14:04:23Z,2026-01-06T02:04:23Z,2026-01-05T20:04:23Z,20.073,38.073,18.0,1.358,0.032,9.0,EVT0006-OBS000,17.822,1.0
EVT0007,EVT0007-H00,0,True,37.697906,18.359841,32.8132,300.3309,2026-01-12T18:40:22Z,2026-01-13T06:40:22Z,2026-01-13T00:40:22Z,192.673,196.807,4.134,1.421,0.032,9.0,EVT0007-OBS000,6.248,0.3336
EVT0007,EVT0007-H01,1,False,37.662091,18.354495,32.3257,296.344,2026-01-12T21:48:25Z,2026-01-13T09:48:25Z,2026-01-13T03:48:25Z,195.807,196.807,1.0,2.428,0.03843,13.275,EVT0007-OBS000,2.232,0.1952
EVT0007,EVT0007-H02,2,False,37.755216,18.344472,31.4117,306.7107,2026-01-12T14:53:44Z,2026-01-13T02:53:44Z,2026-01-12T20:53:44Z,188.896,196.807,7.911,7.726,0.03963,12.776,EVT0007-OBS000,12.597,0.0614
EVT0007,EVT0007-H03,3,False,37.671533,18.360367,32.8611,297.3951,2026-01-12T20:46:14Z,2026-01-13T08:46:14Z,2026-01-13T02:46:14Z,194.771,196.807,2.036,3.388,0.01611,4.453,EVT0007-OBS000,3.366,0.1399
EVT0007,EVT0007-H04,4,False,37.715396,18.360116,32.8383,302.2779,2026-01-12T16:25:33Z,2026-01-13T04:25:33Z,2026-01-12T22:25:33Z,190.426,196.807,6.381,6.698,0.02019,7.507,EVT0007-OBS000,8.187,0.0708
EVT0007,EVT0007-H05,5,False,37.661931,18.356438,32.5028,296.3262,2026-01-12T21:48:25Z,2026-01-13T09:48:25Z,2026-01-13T03:48:25Z,195.807,196.807,1.0,2.38,0.02409,10.575,EVT0007-OBS000,2.243,0.1992
EVT0007,EVT0007-HBEST,-1,False,37.697906,18.359841,32.8132,300.3309,2026-01-12T18:40:22Z,2026-01-13T06:40:22Z,2026-01-13T00:40:22Z,192.673,196.807,4.134,3.774,0.032,9.0,EVT0007-OBS000,6.248,1.0
EVT0008,EVT0008-H00,0,True,37.220411,19.547959,141.1553,247.1761,2026-01-10T09:04:06Z,2026-01-10T21:04:06Z,2026-01-10T15:04:06Z,135.069,153.069,18.0,5.91,0.032,9.0,EVT0008-OBS000,28.633,0.332
EVT0008,EVT0008-H01,1,False,37.202892,19.605148,146.3702,245.2259,2026-01-10T12:56:36Z,2026-01-11T00:56:36Z,2026-01-10T18:56:36Z,138.943,153.069,14.125,13.473,0.03432,5.678,EVT0008-OBS000,24.78,0.1456
EVT0008,EVT0008-H02,2,False,37.27624,19.587426,144.7542,253.391,2026-01-10T06:02:41Z,2026-01-10T18:02:41Z,2026-01-10T12:02:41Z,132.045,153.069,21.024,18.623,0.02965,14.916,EVT0008-OBS000,23.432,0.1054
EVT0008,EVT0008-H03,3,False,37.179625,19.639125,149.4685,242.6359,2026-01-10T13:13:20Z,2026-01-11T01:13:20Z,2026-01-10T19:13:20Z,139.222,153.069,13.846,13.499,0.02685,11.923,EVT0008-OBS000,23.711,0.1454
EVT0008,EVT0008-H04,4,False,37.169088,19.688551,153.9756,241.4629,2026-01-10T14:25:29Z,2026-01-11T02:25:29Z,2026-01-10T20:25:29Z,140.425,153.069,12.644,12.059,0.02223,5.279,EVT0008-OBS000,21.309,0.1627
EVT0008,EVT0008-H05,5,False,37.278846,19.535466,140.0161,253.6812,2026-01-10T11:11:24Z,2026-01-10T23:11:24Z,2026-01-10T17:11:24Z,137.19,153.069,15.878,18.016,0.04697,10.24,EVT0008-OBS000,28.061,0.1089
EVT0008,EVT0008-HBEST,-1,False,37.220411,19.547959,141.1553,247.1761,2026-01-10T09:04:06Z,2026-01-10T21:04:06Z,2026-01-10T15:04:06Z,135.069,153.069,18.0,6.765,0.032,9.0,EVT0008-OBS000,28.633,1.0
EVT0009,EVT0009-H00,0,True,37.420297,20.493639,227.3899,269.4274,2026-01-06T09:02:47Z,2026-01-06T21:02:47Z,2026-01-06T15:02:47Z,39.047,45.12,6.074,1.139,0.032,9.0,EVT0009-OBS000,14.813,0.4441
EVT0009,EVT0009-H01,1,False,37.442953,20.508098,228.7085,271.9495,2026-01-06T07:51:17Z,2026-01-06T19:51:17Z,2026-01-06T13:51:17Z,37.855,45.12,7.265,4.733,0.03279,4.303,EVT0009-OBS000,17.568,0.1069
EVT0009,EVT0009-H02,2,False,37.478177,20.575371,234.8429,275.8707,2026-01-06T03:05:43Z,2026-01-06T15:05:43Z,2026-01-06T09:05:43Z,33.095,45.12,12.025,5.129,0.03931,8.495,EVT0009-OBS000,24.635,0.0986
EVT0009,EVT0009-H03,3,False,37.362448,20.442893,222.7625,262.9877,2026-01-06T12:26:30Z,2026-01-07T00:26:30Z,2026-01-06T18:26:30Z,42.442,45.12,2.678,3.476,0.02163,2.434,EVT0009-OBS000,7.035,0.1455
EVT0009,EVT0009-H04,4,False,37.442344,20.509945,228.8769,271.8817,2026-01-06T06:25:41Z,2026-01-06T18:25:41Z,2026-01-06T12:25:41Z,36.428,45.12,8.692,5.205,0.02394,9.354,EVT0009-OBS000,17.628,0.0972
EVT0009,EVT0009-H05,5,False,37.445092,20.515199,229.356,272.1876,2026-01-06T07:35:23Z,2026-01-06T19:35:23Z,2026-01-06T13:35:23Z,37.59,45.12,7.53,4.694,0.04081,6.03,EVT0009-OBS000,18.175,0.1078
EVT0009,EVT0009-HBEST,-1,False,37.420297,20.493639,227.3899,269.4274,2026-01-06T09:02:47Z,2026-01-06T21:02:47Z,2026-01-06T15:02:47Z,39.047,45.12,6.074,5.294,0.032,9.0,EVT0009-OBS000,14.813,1.0
EVT0010,EVT0010-H00,0,True,36.483865,21.497066,318.8905,165.1839,2026-01-06T02:42:44Z,2026-01-06T14:42:44Z,2026-01-06T08:42:44Z,32.712,50.712,18.0,3.584,0.032,9.0,EVT0010-OBS000,25.471,0.4019
EVT0010,EVT0010-H01,1,False,36.513706,21.453267,314.8965,168.5058,2026-01-06T05:43:51Z,2026-01-06T17:43:51Z,2026-01-06T11:43:51Z,35.731,50.712,14.981,8.649,0.04161,11.122,EVT0010-OBS000,22.212,0.1666
EVT0010,EVT0010-H02,2,False,36.490203,21.519136,320.903,165.8894,2026-01-06T01:33:58Z,2026-01-06T13:33:58Z,2026-01-06T07:33:58Z,31.566,50.712,19.146,12.813,0.03357,9.411,EVT0010-OBS000,27.556,0.1124
EVT0010,EVT0010-H03,3,False,36.459031,21.521408,321.1102,162.4193,2026-01-05T22:39:46Z,2026-01-06T10:39:46Z,2026-01-06T04:39:46Z,28.663,50.712,22.05,14.885,0.03545,11.976,EVT0010-OBS000,27.517,0.0968
EVT0010,EVT0010-H04,4,False,36.473959,21.524046,321.3508,164.0811,2026-01-05T23:51:18Z,2026-01-06T11:51:18Z,2026-01-06T05:51:18Z,29.855,50.712,20.857,14.631,0.03261,13.158,EVT0010-OBS000,27.82,0.0985
EVT0010,EVT0010-H05,5,False,36.485822,21.504931,319.6076,165.4018,2026-01-06T01:28:44Z,2026-01-06T13:28:44Z,2026-01-06T07:28:44Z,31.479,50.712,19.233,11.631,0.02461,4.604,EVT0010-OBS000,26.209,0.1239
EVT0010,EVT0010-HBEST,-1,False,36.483865,21.497066,318.8905,165.1839,2026-01-06T02:42:44Z,2026-01-06T14:42:44Z,2026-01-06T08:42:44Z,32.712,50.712,18.0,3.584,0.032,9.0,EVT0010-OBS000,25.471,1.0
EVT0011,EVT0011-H00,0,True,37.940096,19.396783,127.3698,327.2915,2026-01-07T13:23:16Z,2026-01-08T01:23:16Z,2026-01-07T19:23:16Z,67.388,85.388,18.0,2.582,0.032,9.0,EVT0011-OBS000,39.981,0.4289
EVT0011,EVT0011-H01,1,False,37.962619,19.412277,128.7827,329.7987,2026-01-07T11:19:58Z,2026-01-07T23:19:58Z,2026-01-07T17:19:58Z,65.333,85.388,20.055,10.702,0.02903,8.321,EVT0011-OBS000,40.947,0.1035
EVT0011,EVT0011-H02,2,False,37.919312,19.421666,129.6389,324.9778,2026-01-07T14:53:57Z,2026-01-08T02:53:57Z,2026-01-07T20:53:57Z,68.899,85.388,16.489,9.389,0.03089,11.577,EVT0011-OBS000,36.741,0.1179
EVT0011,EVT0011-H03,3,False,37.869096,19.473309,134.3481,319.3877,2026-01-07T17:46:41Z,2026-01-08T05:46:41Z,2026-01-07T23:46:41Z,71.778,85.388,13.61,8.457,0.03356,16.82,EVT0011-OBS000,29.442,0.1309
EVT0011,EVT0011-H04,4,False,37.89582,19.437737,131.1044,322.3626,2026-01-07T16:14:52Z,2026-01-08T04:14:52Z,2026-01-07T22:14:52Z,70.248,85.388,15.14,9.542,0.03291,12.049,EVT0011-OBS000,33.834,0.116
EVT0011,EVT0011-H05,5,False,37.980484,19.368343,124.7765,331.7875,2026-01-07T10:28:01Z,2026-01-07T22:28:01Z,2026-01-07T16:28:01Z,64.467,85.388,20.921,10.779,0.03324,7.078,EVT0011-OBS000,45.054,0.1027
EVT0011,EVT0011-HBEST,-1,False,37.940096,19.396783,127.3698,327.2915,2026-01-07T13:23:16Z,2026-01-08T01:23:16Z,2026-01-07T19:23:16Z,67.388,85.388,18.0,5.178,0.032,9.0,EVT0011-OBS000,39.981,1.0
EVT0012,EVT0012-H00,0,True,35.628451,21.542635,323.0458,69.9591,2026-01-12T04:42:15Z,2026-01-12T16:42:15Z,2026-01-12T10:42:15Z,178.704,196.704,18.0,4.893,0.032,9.0,EVT0012-OBS000,14.228,0.354
EVT0012,EVT0012-H01,1,False,35.642976,21.535795,322.4221,71.5761,2026-01-12T08:50:27Z,2026-01-12T20:50:27Z,2026-01-12T14:50:27Z,182.841,196.704,13.863,10.709,0.06114,9.236,EVT0012-OBS000,14.727,0.1617
EVT0012,EVT0012-H02,2,False,35.669223,21.571505,325.6784,74.4979,2026-01-12T07:12:34Z,2026-01-12T19:12:34Z,2026-01-12T13:12:34Z,181.209,196.704,15.495,12.594,0.02629,10.311,EVT0012-OBS000,11.768,0.1375
EVT0012,EVT0012-H03,3,False,35.621634,21.478537,317.2009,69.2003,2026-01-12T01:27:01Z,2026-01-12T13:27:01Z,2026-01-12T07:27:01Z,175.45,196.704,21.254,19.997,0.04051,9.478,EVT0012-OBS000,20.122,0.0866
EVT0012,EVT0012-H04,4,False,35.651876,21.551133,323.8207,72.5668,2026-01-12T05:24:57Z,2026-01-12T17:24:57Z,2026-01-12T11:24:57Z,179.416,196.704,17.288,14.444,0.0374,8.95,EVT0012-OBS000,13.345,0.1199
EVT0012,EVT0012-H05,5,False,35.674883,21.587944,327.1775,75.128,2026-01-12T07:39:03Z,2026-01-12T19:39:03Z,2026-01-12T13:39:03Z,181.651,196.704,15.054,12.347,0.02183,9.928,EVT0012-OBS000,10.492,0.1403
EVT0012,EVT0012-HBEST,-1,False,35.628451,21.542635,323.0458,69.9591,2026-01-12T04:42:15Z,2026-01-12T16:42:15Z,2026-01-12T10:42:15Z,178.704,196.704,18.0,4.893,0.032,9.0,EVT0012-OBS000,14.228,1.0
