edge_id,event_id,source_node_id,target_node_id,relation_type,confidence,timestamp,provenance
E000078,EVT0003,EVT0003-OBS006,EVT0003-OBS004,DERIVED-FROM,,,temporal-successor
E000079,EVT0003,EVT0003-OBS007,EVT0003-OBS006,DERIVED-FROM,,,temporal-successor
E000080,EVT0003,EVT0003-OBS008,EVT0003-OBS007,DERIVED-FROM,,,temporal-successor
E000081,EVT0003,EVT0003-OBS009,EVT0003-OBS008,DERIVED-FROM,,,temporal-successor
E000082,EVT0004,EVT0004-OBS001,EVT0004-OBS000,DERIVED-FROM,,,temporal-successor
E000083,EVT0004,EVT0004-OBS002,EVT0004-OBS001,DERIVED-FROM,,,temporal-successor
E000084,EVT0004,EVT0004-OBS003,EVT0004-OBS002,DERIVED-FROM,,,temporal-successor
E000085,EVT0005,EVT0005-OBS001,EVT0005-OBS000,DERIVED-FROM,,,temporal-successor
E000086,EVT0005,EVT0005-OBS002,EVT0005-OBS001,DERIVED-FROM,,,temporal-successor
E000087,EVT0005,EVT0005-OBS003,EVT0005-OBS002,DERIVED-FROM,,,temporal-successor
E000088,EVT0005,EVT0005-OBS004,EVT0005-OBS003,DERIVED-FROM,,,temporal-successor
E000089,EVT0005,EVT0005-OBS005,EVT0005-OBS004,DERIVED-FROM,,,temporal-successor
E000090,EVT0005,EVT0005-OBS006,EVT0005-OBS005,DERIVED-FROM,,,temporal-successor
E000091,EVT0005,EVT0005-OBS007,EVT0005-OBS006,DERIVED-FROM,,,temporal-successor
E000092,EVT0005,EVT0005-OBS008,EVT0005-OBS007,DERIVED-FROM,,,temporal-successor
E000093,EVT0006,EVT0006-OBS001,EVT0006-OBS000,DERIVED-FROM,,,temporal-successor
E000094,EVT0006,EVT0006-OBS002,EVT0006-OBS001,DERIVED-FROM,,,temporal-successor
E000095,EVT0006,EVT0006-OBS004,EVT0006-OBS002,DERIVED-FROM,,,temporal-successor
E000096,EVT0006,EVT0006-OBS005,EVT0006-OBS004,DERIVED-FROM,,,temporal-successor
E000097,EVT0006,EVT0006-OBS006,EVT0006-OBS005,DERIVED-FROM,,,temporal-successor
E000098,EVT0006,EVT0006-OBS008,EVT0006-OBS006,DERIVED-FROM,,,temporal-successor
E000099,EVT0007,EVT0007-OBS001,EVT0007-OBS000,DERIVED-FROM,,,temporal-successor
E000100,EVT0007,EVT0007-OBS002,EVT0007-OBS001,DERIVED-FROM,,,temporal-successor
E000101,EVT0007,EVT0007-OBS003,EVT0007-OBS002,DERIVED-FROM,,,temporal-successor
E000102,EVT0007,EVT0007-OBS005,EVT0007-OBS003,DERIVED-FROM,,,temporal-successor
E000103,EVT0008,EVT0008-OBS001,EVT0008-OBS000,DERIVED-FROM,,,temporal-successor
E000104,EVT0008,EVT0008-OBS002,EVT0008-OBS001,DERIVED-FROM,,,temporal-successor
E000105,EVT0008,EVT0008-OBS003,EVT0008-OBS002,DERIVED-FROM,,,temporal-successor
E000106,EVT0008,EVT0008-OBS004,EVT0008-OBS003,DERIVED-FROM,,,temporal-successor
E000107,EVT0008,EVT0008-OBS005,EVT0008-OBS004,DERIVED-FROM,,,temporal-successor
E000108,EVT0008,EVT0008-OBS007,EVT0008-OBS005,DERIVED-FROM,,,temporal-successor
E000109,EVT0009,EVT0009-OBS001,EVT0009-OBS000,DERIVED-FROM,,,temporal-successor
E000110,EVT0009,EVT0009-OBS003,EVT0009-OBS001,DERIVED-FROM,,,temporal-successor
E000111,EVT0009,EVT0009-OBS004,EVT0009-OBS003,DERIVED-FROM,,,temporal-successor
E000112,EVT0010,EVT0010-OBS001,EVT0010-OBS000,DERIVED-FROM,,,temporal-successor
E000113,EVT0010,EVT0010-OBS002,EVT0010-OBS001,DERIVED-FROM,,,temporal-successor
E000114,EVT0010,EVT0010-OBS003,EVT0010-OBS002,DERIVED-FROM,,,temporal-successor
E000115,EVT0010,EVT0010-OBS004,EVT0010-OBS003,DERIVED-FROM,,,temporal-successor
E000116,EVT0010,EVT0010-OBS005,EVT0010-OBS004,DERIVED-FROM,,,temporal-successor
E000117,EVT0010,EVT0010-OBS007,EVT0010-OBS005,DERIVED-FROM,,,temporal-successor
E000118,EVT0011,EVT0011-OBS001,EVT0011-OBS000,DERIVED-FROM,,,temporal-successor
E000119,EVT0011,EVT0011-OBS002,EVT0011-OBS001,DERIVED-FROM,,,temporal-successor
E000120,EVT0011,EVT0011-OBS003,EVT0011-OBS002,DERIVED-FROM,,,temporal-successor
E000121,EVT0011,EVT0011-OBS004,EVT0011-OBS003,DERIVED-FROM,,,temporal-successor
E000122,EVT0011,EVT0011-OBS005,EVT0011-OBS004,DERIVED-FROM,,,temporal-successor
E000123,EVT0012,EVT0012-OBS001,EVT0012-OBS000,DERIVED-FROM,,,temporal-successor
E000124,EVT0012,EVT0012-OBS002,EVT0012-OBS001,DERIVED-FROM,,,temporal-successor
E000125,EVT0012,EVT0012-OBS004,EVT0012-OBS002,DERIVED-FROM,,,temporal-successor
E000126,EVT0012,EVT0012-OBS005,EVT0012-OBS004,DERIVED-FROM,,,temporal-successor
E000127,EVT0012,EVT0012-OBS006,EVT0012-OBS005,DERIVED-FROM,,,temporal-successor
E000128,EVT0012,EVT0012-OBS007,EVT0012-OBS006,DERIVED-FROM,,,temporal-successor
E000129,EVT0001,EVT0001-H00,EVT0001-OBS000,DERIVED-FROM,,,F3 backtrack
E000130,EVT0001,EVT0001-H00,EVT0001-ENV,DERIVED-FROM,,,forcing
E000131,EVT0001,EVT0001-H01,EVT0001-OBS000,DERIVED-FROM,,,F3 backtrack
E000132,EVT0001,EVT0001-H01,EVT0001-ENV,DERIVED-FROM,,,forcing
E000133,EVT0001,EVT0001-H02,EVT0001-OBS000,DERIVED-FROM,,,F3 backtrack
E000134,EVT0001,EVT0001-H02,EVT0001-ENV,DERIVED-FROM,,,forcing
E000135,EVT0001,EVT0001-H03,EVT0001-OBS000,DERIVED-FROM,,,F3 backtrack
E000136,EVT0001,EVT0001-H03,EVT0001-ENV,DERIVED-FROM,,,forcing
E000137,EVT0001,EVT0001-H04,EVT0001-OBS000,DERIVED-FROM,,,F3 backtrack
E000138,EVT0001,EVT0001-H04,EVT0001-ENV,DERIVED-FROM,,,forcing
E000139,EVT0001,EVT0001-H05,EVT0001-OBS000,DERIVED-FROM,,,F3 backtrack
E000140,EVT0001,EVT0001-H05,EVT0001-ENV,DERIVED-FROM,,,forcing
E000141,EVT0001,EVT0001-HBEST,EVT0001-OBS000,DERIVED-FROM,,,F3 backtrack
E000142,EVT0001,EVT0001-HBEST,EVT0001-ENV,DERIVED-FROM,,,forcing
E000143,EVT0002,EVT0002-H00,EVT0002-OBS000,DERIVED-FROM,,,F3 backtrack
E000144,EVT0002,EVT0002-H00,EVT0002-ENV,DERIVED-FROM,,,forcing
E000145,EVT0002,EVT0002-H01,EVT0002-OBS000,DERIVED-FROM,,,F3 backtrack
E000146,EVT0002,EVT0002-H01,EVT0002-ENV,DERIVED-FROM,,,forcing
E000147,EVT0002,EVT0002-H02,EVT0002-OBS000,DERIVED-FROM,,,F3 backtrack
E000148,EVT0002,EVT0002-H02,EVT0002-ENV,DERIVED-FROM,,,forcing
E000149,EVT0002,EVT0002-H03,EVT0002-OBS000,DERIVED-FROM,,,F3 backtrack
E000150,EVT0002,EVT0002-H03,EVT0002-ENV,DERIVED-FROM,,,forcing
E000151,EVT0002,EVT0002-H04,EVT0002-OBS000,DERIVED-FROM,,,F3 backtrack
E000152,EVT0002,EVT0002-H04,EVT0002-ENV,DERIVED-FROM,,,forcing
E000153,EVT0002,EVT0002-H05,EVT0002-OBS000,DERIVED-FROM,,,F3 backtrack
E000154,EVT0002,EVT0002-H05,EVT0002-ENV,DERIVED-FROM,,,forcing
E000155,EVT0002,EVT0002-HBEST,EVT0002-OBS000,DERIVED-FROM,,,F3 backtrack
E000156,EVT0002,EVT0002-HBEST,EVT0002-ENV,DERIVED-FROM,,,forcing
E000157,EVT0003,EVT0003-H00,EVT0003-OBS000,DERIVED-FROM,,,F3 backtrack
E000158,EVT0003,EVT0003-H00,EVT0003-ENV,DERIVED-FROM,,,forcing
E000159,EVT0003,EVT0003-H01,EVT0003-OBS000,DERIVED-FROM,,,F3 backtrack
E000160,EVT0003,EVT0003-H01,EVT0003-ENV,DERIVED-FROM,,,forcing
E000161,EVT0003,EVT0003-H02,EVT0003-OBS000,DERIVED-FROM,,,F3 backtrack
E000162,EVT0003,EVT0003-H02,EVT0003-ENV,DERIVED-FROM,,,forcing
E000163,EVT0003,EVT0003-H03,EVT0003-OBS000,DERIVED-FROM,,,F3 backtrack
E000164,EVT0003,EVT0003-H03,EVT0003-ENV,DERIVED-FROM,,,forcing
E000165,EVT0003,EVT0003-H04,EVT0003-OBS000,DERIVED-FROM,,,F3 backtrack
E000166,EVT0003,EVT0003-H04,EVT0003-ENV,DERIVED-FROM,,,forcing
E000167,EVT0003,EVT0003-H05,EVT0003-OBS000,DERIVED-FROM,,,F3 backtrack
E000168,EVT0003,EVT0003-H05,EVT0003-ENV,DERIVED-FROM,,,forcing
E000169,EVT0003,EVT0003-HBEST,EVT0003-OBS000,DERIVED-FROM,,,F3 backtrack
E000170,EVT0003,EVT0003-HBEST,EVT0003-ENV,DERIVED-FROM,,,forcing
E000171,EVT0004,EVT0004-H00,EVT0004-OBS000,DERIVED-FROM,,,F3 backtrack
E000172,EVT0004,EVT0004-H00,EVT0004-ENV,DERIVED-FROM,,,forcing
E000173,EVT0004,EVT0004-H01,EVT0004-OBS000,DERIVED-FROM,,,F3 backtrack
E000174,EVT0004,EVT0004-H01,EVT0004-ENV,DERIVED-FROM,,,forcing
E000175,EVT0004,EVT0004-H02,EVT0004-OBS000,DERIVED-FROM,,,F3 backtrack
E000176,EVT0004,EVT0004-H02,EVT0004-ENV,DERIVED-FROM,,,forcing
E000177,EVT0004,EVT0004-H03,EVT0004-OBS000,DERIVED-FROM,,,F3 backtrack
E000178,EVT0004,EVT0004-H03,EVT0004-ENV,DERIVED-FROM,,,forcing
E000179,EVT0004,EVT0004-H04,EVT0004-OBS000,DERIVED-FROM,,,F3 backtrack
E000180,EVT0004,EVT0004-H04,EVT0004-ENV,DERIVED-FROM,,,forcing
E000181,EVT0004,EVT0004-H05,EVT0004-OBS000,DERIVED-FROM,,,F3 backtrack
E000182,EVT0004,EVT0004-H05,EVT0004-ENV,DERIVED-FROM,,,forcing
E000183,EVT0004,EVT0004-HBEST,EVT0004-OBS000,DERIVED-FROM,,,F3 backtrack
E000184,EVT0004,EVT0004-HBEST,EVT0004-ENV,DERIVED-FROM,,,forcing
E000185,EVT0005,EVT0005-H00,EVT0005-OBS000,DERIVED-FROM,,,F3 backtrack
E000186,EVT0005,EVT0005-H00,EVT0005-ENV,DERIVED-FROM,,,forcing
E000187,EVT0005,EVT0005-H01,EVT0005-OBS000,DERIVED-FROM,,,F3 backtrack
E000188,EVT0005,EVT0005-H01,EVT0005-ENV,DERIVED-FROM,,,forcing
E000189,EVT0005,EVT0005-H02,EVT0005-OBS000,DERIVED-FROM,,,F3 backtrack
E000190,EVT0005,EVT0005-H02,EVT0005-ENV,DERIVED-FROM,,,forcing
E000191,EVT0005,EVT0005-H03,EVT0005-OBS000,DERIVED-FROM,,,F3 backtrack
E000192,EVT0005,EVT0005-H03,EVT0005-ENV,DERIVED-FROM,,,forcing
E000193,EVT0005,EVT0005-H04,EVT0005-OBS000,DERIVED-FROM,,,F3 backtrack
E000194,EVT0005,EVT0005-H04,EVT0005-ENV,DERIVED-FROM,,,forcing
E000195,EVT0005,EVT0005-H05,EVT0005-OBS000,DERIVED-FROM,,,F3 backtrack
E000196,EVT0005,EVT0005-H05,EVT0005-ENV,DERIVED-FROM,,,forcing
E000197,EVT0005,EVT0005-HBEST,EVT0005-OBS000,DERIVED-FROM,,,F3 backtrack
E000198,EVT0005,EVT0005-HBEST,EVT0005-ENV,DERIVED-FROM,,,forcing
E000199,EVT0006,EVT0006-H00,EVT0006-OBS000,DERIVED-FROM,,,F3 backtrack
E000200,EVT0006,EVT0006-H00,EVT0006-ENV,DERIVED-FROM,,,forcing
E000201,EVT0006,EVT0006-H01,EVT0006-OBS000,DERIVED-FROM,,,F3 backtrack
E000202,EVT0006,EVT0006-H01,EVT0006-ENV,DERIVED-FROM,,,forcing
E000203,EVT0006,EVT0006-H02,EVT0006-OBS000,DERIVED-FROM,,,F3 backtrack
E000204,EVT0006,EVT0006-H02,EVT0006-ENV,DERIVED-FROM,,,forcing
E000205,EVT0006,EVT0006-H03,EVT0006-OBS000,DERIVED-FROM,,,F3 backtrack
E000206,EVT0006,EVT0006-H03,EVT0006-ENV,DERIVED-FROM,,,forcing
E000207,EVT0006,EVT0006-H04,EVT0006-OBS000,DERIVED-FROM,,,F3 backtrack
E000208,EVT0006,EVT0006-H04,EVT0006-ENV,DERIVED-FROM,,,forcing
E000209,EVT0006,EVT0006-H05,EVT0006-OBS000,DERIVED-FROM,,,F3 backtrack
E000210,EVT0006,EVT0006-H05,EVT0006-ENV,DERIVED-FROM,,,forcing
E000211,EVT0006,EVT0006-HBEST,EVT0006-OBS000,DERIVED-FROM,,,F3 backtrack
E000212,EVT0006,EVT0006-HBEST,EVT0006-ENV,DERIVED-FROM,,,forcing
E000213,EVT0007,EVT0007-H00,EVT0007-OBS000,DERIVED-FROM,,,F3 backtrack
E000214,EVT0007,EVT0007-H00,EVT0007-ENV,DERIVED-FROM,,,forcing
E000215,EVT0007,EVT0007-H01,EVT0007-OBS000,DERIVED-FROM,,,F3 backtrack
E000216,EVT0007,EVT0007-H01,EVT0007-ENV,DERIVED-FROM,,,forcing
E000217,EVT0007,EVT0007-H02,EVT0007-OBS000,DERIVED-FROM,,,F3 backtrack
E000218,EVT0007,EVT0007-H02,EVT0007-ENV,DERIVED-FROM,,,forcing
E000219,EVT0007,EVT0007-H03,EVT0007-OBS000,DERIVED-FROM,,,F3 backtrack
E000220,EVT0007,EVT0007-H03,EVT0007-ENV,DERIVED-FROM,,,forcing
E000221,EVT0007,EVT0007-H04,EVT0007-OBS000,DERIVED-FROM,,,F3 backtrack
E000222,EVT0007,EVT0007-H04,EVT0007-ENV,DERIVED-FROM,,,forcing
E000223,EVT0007,EVT0007-H05,EVT0007-OBS000,DERIVED-FROM,,,F3 backtrack
E000224,EVT0007,EVT0007-H05,EVT0007-ENV,DERIVED-FROM,,,forcing
E000225,EVT0007,EVT0007-HBEST,EVT0007-OBS000,DERIVED-FROM,,,F3 backtrack
E000226,EVT0007,EVT0007-HBEST,EVT0007-ENV,DERIVED-FROM,,,forcing
E000227,EVT0008,EVT0008-H00,EVT0008-OBS000,DERIVED-FROM,,,F3 backtrack
E000228,EVT0008,EVT0008-H00,EVT0008-ENV,DERIVED-FROM,,,forcing
E000229,EVT0008,EVT0008-H01,EVT0008-OBS000,DERIVED-FROM,,,F3 backtrack
E000230,EVT0008,EVT0008-H01,EVT0008-ENV,DERIVED-FROM,,,forcing
E000231,EVT0008,EVT0008-H02,EVT0008-OBS000,DERIVED-FROM,,,F3 backtrack
E000232,EVT0008,EVT0008-H02,EVT0008-ENV,DERIVED-FROM,,,forcing
E000233,EVT0008,EVT0008-H03,EVT0008-OBS000,DERIVED-FROM,,,F3 backtrack
E000234,EVT0008,EVT0008-H03,EVT0008-ENV,DERIVED-FROM,,,forcing
E000235,EVT0008,EVT0008-H04,EVT0008-OBS000,DERIVED-FROM,,,F3 backtrack
E000236,EVT0008,EVT0008-H04,EVT0008-ENV,DERIVED-FROM,,,forcing
E000237,EVT0008,EVT0008-H05,EVT0008-OBS000,DERIVED-FROM,,,F3 backtrack
E000238,EVT0008,EVT0008-H05,EVT0008-ENV,DERIVED-FROM,,,forcing
E000239,EVT0008,EVT0008-HBEST,EVT0008-OBS000,DERIVED-FROM,,,F3 backtrack
E000240,EVT0008,EVT0008-HBEST,EVT0008-ENV,DERIVED-FROM,,,forcing
E000241,EVT0009,EVT0009-H00,EVT0009-OBS000,DERIVED-FROM,,,F3 backtrack
E000242,EVT0009,EVT0009-H00,EVT0009-ENV,DERIVED-FROM,,,forcing
E000243,EVT0009,EVT0009-H01,EVT0009-OBS000,DERIVED-FROM,,,F3 backtrack
E000244,EVT0009,EVT0009-H01,EVT0009-ENV,DERIVED-FROM,,,forcing
E000245,EVT0009,EVT0009-H02,EVT0009-OBS000,DERIVED-FROM,,,F3 backtrack
E000246,EVT0009,EVT0009-H02,EVT0009-ENV,DERIVED-FROM,,,forcing
E000247,EVT0009,EVT0009-H03,EVT0009-OBS000,DERIVED-FROM,,,F3 backtrack
E000248,EVT0009,EVT0009-H03,EVT0009-ENV,DERIVED-FROM,,,forcing
E000249,EVT0009,EVT0009-H04,EVT0009-OBS000,DERIVED-FROM,,,F3 backtrack
E000250,EVT0009,EVT0009-H04,EVT0009-ENV,DERIVED-FROM,,,forcing
E000251,EVT0009,EVT0009-H05,EVT0009-OBS000,DERIVED-FROM,,,F3 backtrack
E000252,EVT0009,EVT0009-H05,EVT0009-ENV,DERIVED-FROM,,,forcing
E000253,EVT0009,EVT0009-HBEST,EVT0009-OBS000,DERIVED-FROM,,,F3 backtrack
E000254,EVT0009,EVT0009-HBEST,EVT0009-ENV,DERIVED-FROM,,,forcing
E000255,EVT0010,EVT0010-H00,EVT0010-OBS000,DERIVED-FROM,,,F3 backtrack
E000256,EVT0010,EVT0010-H00,EVT0010-ENV,DERIVED-FROM,,,forcing
E000257,EVT0010,EVT0010-H01,EVT0010-OBS000,DERIVED-FROM,,,F3 backtrack
E000258,EVT0010,EVT0010-H01,EVT0010-ENV,DERIVED-FROM,,,forcing
E000259,EVT0010,EVT0010-H02,EVT0010-OBS000,DERIVED-FROM,,,F3 backtrack
E000260,EVT0010,EVT0010-H02,EVT0010-ENV,DERIVED-FROM,,,forcing
E000261,EVT0010,EVT0010-H03,EVT0010-OBS000,DERIVED-FROM,,,F3 backtrack
E000262,EVT0010,EVT0010-H03,EVT0010-ENV,DERIVED-FROM,,,forcing
E000263,EVT0010,EVT0010-H04,EVT0010-OBS000,DERIVED-FROM,,,F3 backtrack
E000264,EVT0010,EVT0010-H04,EVT0010-ENV,DERIVED-FROM,,,forcing
E000265,EVT0010,EVT0010-H05,EVT0010-OBS000,DERIVED-FROM,,,F3 backtrack
E000266,EVT0010,EVT0010-H05,EVT0010-ENV,DERIVED-FROM,,,forcing
E000267,EVT0010,EVT0010-HBEST,EVT0010-OBS000,DERIVED-FROM,,,F3 backtrack
E000268,EVT0010,EVT0010-HBEST,EVT0010-ENV,DERIVED-FROM,,,forcing
E000269,EVT0011,EVT0011-H00,EVT0011-OBS000,DERIVED-FROM,,,F3 backtrack
E000270,EVT0011,EVT0011-H00,EVT0011-ENV,DERIVED-FROM,,,forcing
E000271,EVT0011,EVT0011-H01,EVT0011-OBS000,DERIVED-FROM,,,F3 backtrack
E000272,EVT0011,EVT0011-H01,EVT0011-ENV,DERIVED-FROM,,,forcing
E000273,EVT0011,EVT0011-H02,EVT0011-OBS000,DERIVED-FROM,,,F3 backtrack
E000274,EVT0011,EVT0011-H02,EVT0011-ENV,DERIVED-FROM,,,forcing
E000275,EVT0011,EVT0011-H03,EVT0011-OBS000,DERIVED-FROM,,,F3 backtrack
E000276,EVT0011,EVT0011-H03,EVT0011-ENV,DERIVED-FROM,,,forcing
E000277,EVT0011,EVT0011-H04,EVT0011-OBS000,DERIVED-FROM,,,F3 backtrack
E000278,EVT0011,EVT0011-H04,EVT0011-ENV,DERIVED-FROM,,,forcing
E000279,EVT0011,EVT0011-H05,EVT0011-OBS000,DERIVED-FROM,,,F3 backtrack
E000280,EVT0011,EVT0011-H05,EVT0011-ENV,DERIVED-FROM,,,forcing
E000281,EVT0011,EVT0011-HBEST,EVT0011-OBS000,DERIVED-FROM,,,F3 backtrack
E000282,EVT0011,EVT0011-HBEST,EVT0011-ENV,DERIVED-FROM,,,forcing
E000283,EVT0012,EVT0012-H00,EVT0012-OBS000,DERIVED-FROM,,,F3 backtrack
E000284,EVT0012,EVT0012-H00,EVT0012-ENV,DERIVED-FROM,,,forcing
