node_id,event_id,node_type,timestamp,latitude,longitude,confidence,uncertainty,provenance
EVT0004-OBS003,EVT0004,SPILL_OBSERVATION,2026-01-09T04:04:08Z,38.037556,22.348664,0.99,,scene:S1_EVT0004_03
S1_EVT0004_03,EVT0004,SPILL_OBSERVATION,2026-01-09T04:04:08Z,,,,,D1
EVT0005-OBS000,EVT0005,SPILL_OBSERVATION,2026-01-13T05:26:45Z,37.164106,19.731289,0.873,,scene:S1_EVT0005_01
S1_EVT0005_01,EVT0005,SPILL_OBSERVATION,2026-01-13T05:26:45Z,,,,,D1
EVT0005-ENV,EVT0005,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0005-OBS001,EVT0005,SPILL_OBSERVATION,2026-01-13T20:00:25Z,37.403226,19.722601,0.99,,scene:S1_EVT0005_02
S1_EVT0005_02,EVT0005,SPILL_OBSERVATION,2026-01-13T20:00:25Z,,,,,D1
EVT0005-OBS002,EVT0005,SPILL_OBSERVATION,2026-01-14T14:12:40Z,37.591427,19.895901,0.99,,scene:S1_EVT0005_03
S1_EVT0005_03,EVT0005,SPILL_OBSERVATION,2026-01-14T14:12:40Z,,,,,D1
EVT0005-OBS003,EVT0005,SPILL_OBSERVATION,2026-01-15T12:50:55Z,37.813588,19.9681,0.828,,scene:S1_EVT0005_04
S1_EVT0005_04,EVT0005,SPILL_OBSERVATION,2026-01-15T12:50:55Z,,,,,D1
EVT0005-OBS004,EVT0005,SPILL_OBSERVATION,2026-01-16T05:14:19Z,38.003639,20.135432,0.807,,scene:S1_EVT0005_05
S1_EVT0005_05,EVT0005,SPILL_OBSERVATION,2026-01-16T05:14:19Z,,,,,D1
EVT0005-OBS005,EVT0005,SPILL_OBSERVATION,2026-01-16T21:40:17Z,38.226858,20.026487,0.99,,scene:S1_EVT0005_06
S1_EVT0005_06,EVT0005,SPILL_OBSERVATION,2026-01-16T21:40:17Z,,,,,D1
EVT0005-OBS006,EVT0005,SPILL_OBSERVATION,2026-01-17T19:34:59Z,38.291498,20.148578,0.99,,scene:S1_EVT0005_07
S1_EVT0005_07,EVT0005,SPILL_OBSERVATION,2026-01-17T19:34:59Z,,,,,D1
EVT0005-OBS007,EVT0005,SPILL_OBSERVATION,2026-01-18T13:27:56Z,38.351921,20.134763,0.52,,scene:S1_EVT0005_08
S1_EVT0005_08,EVT0005,SPILL_OBSERVATION,2026-01-18T13:27:56Z,,,,,D1
EVT0005-OBS008,EVT0005,SPILL_OBSERVATION,2026-01-19T02:38:30Z,38.467822,20.325487,0.99,,scene:S1_EVT0005_09
S1_EVT0005_09,EVT0005,SPILL_OBSERVATION,2026-01-19T02:38:30Z,,,,,D1
EVT0006-OBS000,EVT0006,SPILL_OBSERVATION,2026-01-06T14:04:23Z,35.799542,21.832093,0.99,,scene:S1_EVT0006_00
S1_EVT0006_00,EVT0006,SPILL_OBSERVATION,2026-01-06T14:04:23Z,,,,,D1
EVT0006-ENV,EVT0006,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0006-OBS001,EVT0006,SPILL_OBSERVATION,2026-01-07T11:14:04Z,36.057644,21.942277,0.99,,scene:S1_EVT0006_01
S1_EVT0006_01,EVT0006,SPILL_OBSERVATION,2026-01-07T11:14:04Z,,,,,D1
EVT0006-OBS002,EVT0006,SPILL_OBSERVATION,2026-01-08T04:39:11Z,36.153029,22.034147,0.879,,scene:S1_EVT0006_02
S1_EVT0006_02,EVT0006,SPILL_OBSERVATION,2026-01-08T04:39:11Z,,,,,D1
EVT0006-OBS004,EVT0006,SPILL_OBSERVATION,2026-01-09T16:57:18Z,36.549011,22.251449,0.99,,scene:S1_EVT0006_04
S1_EVT0006_04,EVT0006,SPILL_OBSERVATION,2026-01-09T16:57:18Z,,,,,D1
EVT0006-OBS005,EVT0006,SPILL_OBSERVATION,2026-01-10T11:03:46Z,36.880185,22.381286,0.868,,scene:S1_EVT0006_05
S1_EVT0006_05,EVT0006,SPILL_OBSERVATION,2026-01-10T11:03:46Z,,,,,D1
EVT0006-OBS006,EVT0006,SPILL_OBSERVATION,2026-01-11T05:06:35Z,36.948727,22.33654,0.99,,scene:S1_EVT0006_06
S1_EVT0006_06,EVT0006,SPILL_OBSERVATION,2026-01-11T05:06:35Z,,,,,D1
EVT0006-OBS008,EVT0006,SPILL_OBSERVATION,2026-01-12T15:36:50Z,37.320397,22.352445,0.99,,scene:S1_EVT0006_08
S1_EVT0006_08,EVT0006,SPILL_OBSERVATION,2026-01-12T15:36:50Z,,,,,D1
EVT0007-OBS000,EVT0007,SPILL_OBSERVATION,2026-01-13T04:48:25Z,37.649735,18.353722,0.99,,scene:S1_EVT0007_01
S1_EVT0007_01,EVT0007,SPILL_OBSERVATION,2026-01-13T04:48:25Z,,,,,D1
EVT0007-ENV,EVT0007,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0007-OBS001,EVT0007,SPILL_OBSERVATION,2026-01-14T02:37:20Z,38.126743,18.283985,0.941,,scene:S1_EVT0007_02
S1_EVT0007_02,EVT0007,SPILL_OBSERVATION,2026-01-14T02:37:20Z,,,,,D1
EVT0007-OBS002,EVT0007,SPILL_OBSERVATION,2026-01-14T23:34:26Z,38.300884,18.142225,0.99,,scene:S1_EVT0007_03
S1_EVT0007_03,EVT0007,SPILL_OBSERVATION,2026-01-14T23:34:26Z,,,,,D1
EVT0007-OBS003,EVT0007,SPILL_OBSERVATION,2026-01-15T16:02:15Z,38.296956,18.122611,0.763,,scene:S1_EVT0007_04
S1_EVT0007_04,EVT0007,SPILL_OBSERVATION,2026-01-15T16:02:15Z,,,,,D1
EVT0007-OBS005,EVT0007,SPILL_OBSERVATION,2026-01-16T20:32:17Z,38.434771,18.316145,0.732,,scene:S1_EVT0007_06
S1_EVT0007_06,EVT0007,SPILL_OBSERVATION,2026-01-16T20:32:17Z,,,,,D1
EVT0008-OBS000,EVT0008,SPILL_OBSERVATION,2026-01-11T09:04:06Z,37.271913,19.800266,0.99,,scene:S1_EVT0008_00
S1_EVT0008_00,EVT0008,SPILL_OBSERVATION,2026-01-11T09:04:06Z,,,,,D1
EVT0008-ENV,EVT0008,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0008-OBS001,EVT0008,SPILL_OBSERVATION,2026-01-12T03:40:53Z,37.284479,19.69098,0.936,,scene:S1_EVT0008_01
S1_EVT0008_01,EVT0008,SPILL_OBSERVATION,2026-01-12T03:40:53Z,,,,,D1
EVT0008-OBS002,EVT0008,SPILL_OBSERVATION,2026-01-12T21:10:16Z,37.273563,19.813541,0.99,,scene:S1_EVT0008_02
S1_EVT0008_02,EVT0008,SPILL_OBSERVATION,2026-01-12T21:10:16Z,,,,,D1
EVT0008-OBS003,EVT0008,SPILL_OBSERVATION,2026-01-13T18:17:26Z,37.456825,19.996131,0.99,,scene:S1_EVT0008_03
S1_EVT0008_03,EVT0008,SPILL_OBSERVATION,2026-01-13T18:17:26Z,,,,,D1
EVT0008-OBS004,EVT0008,SPILL_OBSERVATION,2026-01-14T15:44:00Z,37.819871,20.272343,0.99,,scene:S1_EVT0008_04
S1_EVT0008_04,EVT0008,SPILL_OBSERVATION,2026-01-14T15:44:00Z,,,,,D1
EVT0008-OBS005,EVT0008,SPILL_OBSERVATION,2026-01-15T14:38:06Z,38.07962,20.436122,0.745,,scene:S1_EVT0008_05
S1_EVT0008_05,EVT0008,SPILL_OBSERVATION,2026-01-15T14:38:06Z,,,,,D1
EVT0008-OBS007,EVT0008,SPILL_OBSERVATION,2026-01-17T02:43:03Z,38.211407,20.253554,0.99,,scene:S1_EVT0008_07
S1_EVT0008_07,EVT0008,SPILL_OBSERVATION,2026-01-17T02:43:03Z,,,,,D1
EVT0009-OBS000,EVT0009,SPILL_OBSERVATION,2026-01-06T21:07:13Z,37.331179,20.397379,0.99,,scene:S1_EVT0009_01
S1_EVT0009_01,EVT0009,SPILL_OBSERVATION,2026-01-06T21:07:13Z,,,,,D1
EVT0009-ENV,EVT0009,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0009-OBS001,EVT0009,SPILL_OBSERVATION,2026-01-07T15:58:32Z,37.593942,20.587249,0.935,,scene:S1_EVT0009_02
S1_EVT0009_02,EVT0009,SPILL_OBSERVATION,2026-01-07T15:58:32Z,,,,,D1
EVT0009-OBS003,EVT0009,SPILL_OBSERVATION,2026-01-09T01:11:31Z,37.970296,20.967587,0.99,,scene:S1_EVT0009_04
S1_EVT0009_04,EVT0009,SPILL_OBSERVATION,2026-01-09T01:11:31Z,,,,,D1
EVT0009-OBS004,EVT0009,SPILL_OBSERVATION,2026-01-09T23:46:21Z,38.418854,20.890516,0.666,,scene:S1_EVT0009_05
S1_EVT0009_05,EVT0009,SPILL_OBSERVATION,2026-01-09T23:46:21Z,,,,,D1
EVT0010-OBS000,EVT0010,SPILL_OBSERVATION,2026-01-07T02:42:44Z,36.518148,21.350219,0.99,,scene:S1_EVT0010_02
S1_EVT0010_02,EVT0010,SPILL_OBSERVATION,2026-01-07T02:42:44Z,,,,,D1
EVT0010-ENV,EVT0010,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0010-OBS001,EVT0010,SPILL_OBSERVATION,2026-01-07T20:51:16Z,36.520254,21.450627,0.99,,scene:S1_EVT0010_03
S1_EVT0010_03,EVT0010,SPILL_OBSERVATION,2026-01-07T20:51:16Z,,,,,D1
EVT0010-OBS002,EVT0010,SPILL_OBSERVATION,2026-01-08T19:12:39Z,36.811473,21.628066,0.99,,scene:S1_EVT0010_04
S1_EVT0010_04,EVT0010,SPILL_OBSERVATION,2026-01-08T19:12:39Z,,,,,D1
EVT0010-OBS003,EVT0010,SPILL_OBSERVATION,2026-01-09T13:21:25Z,37.095719,21.895798,0.876,,scene:S1_EVT0010_05
S1_EVT0010_05,EVT0010,SPILL_OBSERVATION,2026-01-09T13:21:25Z,,,,,D1
EVT0010-OBS004,EVT0010,SPILL_OBSERVATION,2026-01-10T04:54:27Z,37.35638,21.959676,0.943,,scene:S1_EVT0010_06
S1_EVT0010_06,EVT0010,SPILL_OBSERVATION,2026-01-10T04:54:27Z,,,,,D1
EVT0010-OBS005,EVT0010,SPILL_OBSERVATION,2026-01-11T01:03:17Z,37.407764,22.00204,0.99,,scene:S1_EVT0010_07
S1_EVT0010_07,EVT0010,SPILL_OBSERVATION,2026-01-11T01:03:17Z,,,,,D1
EVT0010-OBS007,EVT0010,SPILL_OBSERVATION,2026-01-12T09:04:54Z,37.701516,22.217068,0.99,,scene:S1_EVT0010_09
S1_EVT0010_09,EVT0010,SPILL_OBSERVATION,2026-01-12T09:04:54Z,,,,,D1
EVT0011-OBS000,EVT0011,SPILL_OBSERVATION,2026-01-08T13:23:16Z,37.752907,19.593876,0.929,,scene:S1_EVT0011_00
S1_EVT0011_00,EVT0011,SPILL_OBSERVATION,2026-01-08T13:23:16Z,,,,,D1
EVT0011-ENV,EVT0011,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0011-OBS001,EVT0011,SPILL_OBSERVATION,2026-01-09T02:49:40Z,37.952351,19.549458,0.99,,scene:S1_EVT0011_01
S1_EVT0011_01,EVT0011,SPILL_OBSERVATION,2026-01-09T02:49:40Z,,,,,D1
EVT0011-OBS002,EVT0011,SPILL_OBSERVATION,2026-01-10T00:11:50Z,38.012287,19.46337,0.84,,scene:S1_EVT0011_02
S1_EVT0011_02,EVT0011,SPILL_OBSERVATION,2026-01-10T00:11:50Z,,,,,D1
EVT0011-OBS003,EVT0011,SPILL_OBSERVATION,2026-01-10T17:31:00Z,38.26943,19.603535,0.99,,scene:S1_EVT0011_03
S1_EVT0011_03,EVT0011,SPILL_OBSERVATION,2026-01-10T17:31:00Z,,,,,D1
EVT0011-OBS004,EVT0011,SPILL_OBSERVATION,2026-01-11T07:16:43Z,38.359353,19.512612,0.99,,scene:S1_EVT0011_04
S1_EVT0011_04,EVT0011,SPILL_OBSERVATION,2026-01-11T07:16:43Z,,,,,D1
EVT0011-OBS005,EVT0011,SPILL_OBSERVATION,2026-01-11T21:33:54Z,38.393784,19.683374,0.99,,scene:S1_EVT0011_05
S1_EVT0011_05,EVT0011,SPILL_OBSERVATION,2026-01-11T21:33:54Z,,,,,D1
EVT0012-OBS000,EVT0012,SPILL_OBSERVATION,2026-01-13T04:42:15Z,35.652774,21.654464,0.99,,scene:S1_EVT0012_01
S1_EVT0012_01,EVT0012,SPILL_OBSERVATION,2026-01-13T04:42:15Z,,,,,D1
EVT0012-ENV,EVT0012,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0012-OBS001,EVT0012,SPILL_OBSERVATION,2026-01-14T02:09:38Z,35.675145,21.851805,0.99,,scene:S1_EVT0012_02
S1_EVT0012_02,EVT0012,SPILL_OBSERVATION,2026-01-14T02:09:38Z,,,,,D1
EVT0012-OBS002,EVT0012,SPILL_OBSERVATION,2026-01-14T20:19:00Z,35.703108,21.749376,0.718,,scene:S1_EVT0012_03
S1_EVT0012_03,EVT0012,SPILL_OBSERVATION,2026-01-14T20:19:00Z,,,,,D1
EVT0012-OBS004,EVT0012,SPILL_OBSERVATION,2026-01-16T12:04:19Z,36.239956,22.048165,0.99,,scene:S1_EVT0012_05
S1_EVT0012_05,EVT0012,SPILL_OBSERVATION,2026-01-16T12:04:19Z,,,,,D1
EVT0012-OBS005,EVT0012,SPILL_OBSERVATION,2026-01-17T05:23:13Z,36.372712,22.200582,0.929,,scene:S1_EVT0012_06
S1_EVT0012_06,EVT0012,SPILL_OBSERVATION,2026-01-17T05:23:13Z,,,,,D1
EVT0012-OBS006,EVT0012,SPILL_OBSERVATION,2026-01-17T22:39:52Z,36.424617,22.270496,0.99,,scene:S1_EVT0012_07
S1_EVT0012_07,EVT0012,SPILL_OBSERVATION,2026-01-17T22:39:52Z,,,,,D1
EVT0012-OBS007,EVT0012,SPILL_OBSERVATION,2026-01-18T18:45:37Z,36.724604,22.327768,0.99,,scene:S1_EVT0012_08
S1_EVT0012_08,EVT0012,SPILL_OBSERVATION,2026-01-18T18:45:37Z,,,,,D1
EVT0001-H00,EVT0001,SOURCE_HYPOTHESIS,2026-01-09T08:00:22Z,38.466892,21.00957,0.3083,2.761,seed:EVT0001-OBS000
EVT0001-H01,EVT0001,SOURCE_HYPOTHESIS,2026-01-09T07:35:18Z,38.459276,21.015879,0.1248,6.821,seed:EVT0001-OBS000
EVT0001-H02,EVT0001,SOURCE_HYPOTHESIS,2026-01-09T11:16:31Z,38.418241,21.059348,0.1577,5.396,seed:EVT0001-OBS000
EVT0001-H03,EVT0001,SOURCE_HYPOTHESIS,2026-01-09T12:17:19Z,38.402301,21.077149,0.1837,4.634,seed:EVT0001-OBS000
EVT0001-H04,EVT0001,SOURCE_HYPOTHESIS,2026-01-09T08:37:29Z,38.461766,21.016433,0.1329,6.404,seed:EVT0001-OBS000
EVT0001-H05,EVT0001,SOURCE_HYPOTHESIS,2026-01-09T00:59:59Z,38.575665,20.920077,0.0926,9.197,seed:EVT0001-OBS000
EVT0001-HBEST,EVT0001,SOURCE_HYPOTHESIS,2026-01-09T08:00:22Z,38.466892,21.00957,1.0,7.656,seed:EVT0001-OBS000
EVT0002-H00,EVT0002,SOURCE_HYPOTHESIS,2026-01-13T08:11:11Z,38.108387,18.321247,0.2498,4.666,seed:EVT0002-OBS000
EVT0002-H01,EVT0002,SOURCE_HYPOTHESIS,2026-01-13T05:31:33Z,38.118091,18.303508,0.1304,8.938,seed:EVT0002-OBS000
EVT0002-H02,EVT0002,SOURCE_HYPOTHESIS,2026-01-13T02:52:18Z,38.131,18.289936,0.1216,9.585,seed:EVT0002-OBS000
EVT0002-H03,EVT0002,SOURCE_HYPOTHESIS,2026-01-13T05:46:59Z,38.106611,18.311844,0.1387,8.406,seed:EVT0002-OBS000
EVT0002-H04,EVT0002,SOURCE_HYPOTHESIS,2026-01-13T07:55:25Z,38.105457,18.320722,0.1668,6.99,seed:EVT0002-OBS000
EVT0002-H05,EVT0002,SOURCE_HYPOTHESIS,2026-01-13T09:42:18Z,38.116816,18.321247,0.1927,6.048,seed:EVT0002-OBS000
EVT0002-HBEST,EVT0002,SOURCE_HYPOTHESIS,2026-01-13T08:11:11Z,38.108387,18.321247,1.0,4.666,seed:EVT0002-OBS000
EVT0003-H00,EVT0003,SOURCE_HYPOTHESIS,2026-01-10T17:52:26Z,35.824549,18.834134,0.4982,1.806,seed:EVT0003-OBS000
EVT0003-H01,EVT0003,SOURCE_HYPOTHESIS,2026-01-10T15:15:25Z,35.837542,18.853204,0.0866,10.39,seed:EVT0003-OBS000
EVT0003-H02,EVT0003,SOURCE_HYPOTHESIS,2026-01-10T18:21:55Z,35.811698,18.846015,0.0891,10.098,seed:EVT0003-OBS000
EVT0003-H03,EVT0003,SOURCE_HYPOTHESIS,2026-01-10T20:47:15Z,35.851315,18.846122,0.1076,8.364,seed:EVT0003-OBS000
EVT0003-H04,EVT0003,SOURCE_HYPOTHESIS,2026-01-10T22:49:16Z,35.836187,18.853588,0.1069,8.419,seed:EVT0003-OBS000
EVT0003-H05,EVT0003,SOURCE_HYPOTHESIS,2026-01-10T22:10:26Z,35.845669,18.850734,0.1116,8.065,seed:EVT0003-OBS000
EVT0003-HBEST,EVT0003,SOURCE_HYPOTHESIS,2026-01-10T17:52:26Z,35.824549,18.834134,1.0,1.806,seed:EVT0003-OBS000
EVT0004-H00,EVT0004,SOURCE_HYPOTHESIS,2026-01-05T20:03:35Z,37.457485,21.831324,0.4158,3.84,seed:EVT0004-OBS000
EVT0004-H01,EVT0004,SOURCE_HYPOTHESIS,2026-01-05T22:30:49Z,37.495561,21.812334,0.1263,12.639,seed:EVT0004-OBS000
EVT0004-H02,EVT0004,SOURCE_HYPOTHESIS,2026-01-05T22:51:58Z,37.503802,21.817921,0.1455,10.973,seed:EVT0004-OBS000
EVT0004-H03,EVT0004,SOURCE_HYPOTHESIS,2026-01-05T22:42:12Z,37.484506,21.813935,0.1274,12.529,seed:EVT0004-OBS000
EVT0004-H04,EVT0004,SOURCE_HYPOTHESIS,2026-01-05T17:51:44Z,37.470856,21.828426,0.0913,17.489,seed:EVT0004-OBS000
EVT0004-H05,EVT0004,SOURCE_HYPOTHESIS,2026-01-05T18:43:04Z,37.472166,21.836909,0.0936,17.054,seed:EVT0004-OBS000
EVT0004-HBEST,EVT0004,SOURCE_HYPOTHESIS,2026-01-05T20:03:35Z,37.457485,21.831324,1.0,3.84,seed:EVT0004-OBS000
EVT0005-H00,EVT0005,SOURCE_HYPOTHESIS,2026-01-12T11:26:45Z,37.278334,19.93092,0.3098,4.335,seed:EVT0005-OBS000
EVT0005-H01,EVT0005,SOURCE_HYPOTHESIS,2026-01-12T08:18:31Z,37.265783,19.980768,0.1077,12.468,seed:EVT0005-OBS000
EVT0005-H02,EVT0005,SOURCE_HYPOTHESIS,2026-01-12T16:13:13Z,37.274256,19.838788,0.1864,7.206,seed:EVT0005-OBS000
EVT0005-H03,EVT0005,SOURCE_HYPOTHESIS,2026-01-12T11:47:26Z,37.304198,19.949417,0.1323,10.151,seed:EVT0005-OBS000
EVT0005-H04,EVT0005,SOURCE_HYPOTHESIS,2026-01-12T13:08:22Z,37.289972,19.901279,0.1497,8.972,seed:EVT0005-OBS000
EVT0005-H05,EVT0005,SOURCE_HYPOTHESIS,2026-01-12T08:25:19Z,37.25976,19.964252,0.1142,11.762,seed:EVT0005-OBS000
EVT0005-HBEST,EVT0005,SOURCE_HYPOTHESIS,2026-01-12T11:26:45Z,37.278334,19.93092,1.0,4.591,seed:EVT0005-OBS000
EVT0006-H00,EVT0006,SOURCE_HYPOTHESIS,2026-01-05T20:04:23Z,35.933729,21.839526,0.5312,1.225,seed:EVT0006-OBS000
EVT0006-H01,EVT0006,SOURCE_HYPOTHESIS,2026-01-05T20:34:29Z,35.929636,21.845326,0.0904,7.197,seed:EVT0006-OBS000
EVT0006-H02,EVT0006,SOURCE_HYPOTHESIS,2026-01-05T18:23:20Z,35.930645,21.848686,0.0906,7.183,seed:EVT0006-OBS000
EVT0006-H03,EVT0006,SOURCE_HYPOTHESIS,2026-01-05T16:51:34Z,35.938525,21.853866,0.0895,7.274,seed:EVT0006-OBS000
EVT0006-H04,EVT0006,SOURCE_HYPOTHESIS,2026-01-05T18:51:45Z,35.934635,21.836392,0.1002,6.494,seed:EVT0006-OBS000
EVT0006-H05,EVT0006,SOURCE_HYPOTHESIS,2026-01-06T00:51:53Z,35.912713,21.869912,0.0981,6.636,seed:EVT0006-OBS000
EVT0006-HBEST,EVT0006,SOURCE_HYPOTHESIS,2026-01-05T20:04:23Z,35.933729,21.839526,1.0,1.358,seed:EVT0006-OBS000
EVT0007-H00,EVT0007,SOURCE_HYPOTHESIS,2026-01-13T00:40:22Z,37.697906,18.359841,0.3336,1.421,seed:EVT0007-OBS000
EVT0007-H01,EVT0007,SOURCE_HYPOTHESIS,2026-01-13T03:48:25Z,37.662091,18.354495,0.1952,2.428,seed:EVT0007-OBS000
EVT0007-H02,EVT0007,SOURCE_HYPOTHESIS,2026-01-12T20:53:44Z,37.755216,18.344472,0.0614,7.726,seed:EVT0007-OBS000
EVT0007-H03,EVT0007,SOURCE_HYPOTHESIS,2026-01-13T02:46:14Z,37.671533,18.360367,0.1399,3.388,seed:EVT0007-OBS000
EVT0007-H04,EVT0007,SOURCE_HYPOTHESIS,2026-01-12T22:25:33Z,37.715396,18.360116,0.0708,6.698,seed:EVT0007-OBS000
EVT0007-H05,EVT0007,SOURCE_HYPOTHESIS,2026-01-13T03:48:25Z,37.661931,18.356438,0.1992,2.38,seed:EVT0007-OBS000
EVT0007-HBEST,EVT0007,SOURCE_HYPOTHESIS,2026-01-13T00:40:22Z,37.697906,18.359841,1.0,3.774,seed:EVT0007-OBS000
EVT0008-H00,EVT0008,SOURCE_HYPOTHESIS,2026-01-10T15:04:06Z,37.220411,19.547959,0.332,5.91,seed:EVT0008-OBS000
EVT0008-H01,EVT0008,SOURCE_HYPOTHESIS,2026-01-10T18:56:36Z,37.202892,19.605148,0.1456,13.473,seed:EVT0008-OBS000
EVT0008-H02,EVT0008,SOURCE_HYPOTHESIS,2026-01-10T12:02:41Z,37.27624,19.587426,0.1054,18.623,seed:EVT0008-OBS000
EVT0008-H03,EVT0008,SOURCE_HYPOTHESIS,2026-01-10T19:13:20Z,37.179625,19.639125,0.1454,13.499,seed:EVT0008-OBS000
EVT0008-H04,EVT0008,SOURCE_HYPOTHESIS,2026-01-10T20:25:29Z,37.169088,19.688551,0.1627,12.059,seed:EVT0008-OBS000
EVT0008-H05,EVT0008,SOURCE_HYPOTHESIS,2026-01-10T17:11:24Z,37.278846,19.535466,0.1089,18.016,seed:EVT0008-OBS000
EVT0008-HBEST,EVT0008,SOURCE_HYPOTHESIS,2026-01-10T15:04:06Z,37.220411,19.547959,1.0,6.765,seed:EVT0008-OBS000
