event_id,hypothesis_id,candidate_mmsi,rank,final_score,confidence_band,event_insufficient_evidence,is_true_source,vessel_type,source_probability,spatial_compatibility,temporal_compatibility,drift_compatibility,ais_completeness,behavioural_score,sensor_confidence,contradiction_count,unknown_count,support_count,n_evidence_items,data_quality_weight,margin_to_next,distance_to_source_km,dark_gap_over_source,closest_approach_is_interpolated,source_hypothesis_id,explanation
EVT0004,EVT0004-C-741731333,741731333,4,0.0852,low,False,False,Passenger,0.0,0.0009,0.026,0.5324,0.8501,0.0,0.99,1,0,0,7,0.995,0.0533,87.93,False,False,EVT0004-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.03, drift=0.53, behaviour=0.00, contradictions=1; final=0.09 (rank 4/5)"
EVT0004,EVT0004-C-405267985,405267985,5,0.0319,low,False,False,Tug,0.0,0.0029,0.0528,0.1769,0.7581,0.0,0.99,1,0,0,7,0.995,0.0319,73.803,False,False,EVT0004-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.05, drift=0.18, behaviour=0.00, contradictions=1; final=0.03 (rank 5/5)"
EVT0005,EVT0005-C-592609471,592609471,1,0.1764,low,True,True,Cargo,0.0,0.0582,0.2759,0.2332,0.5844,0.0,0.8864,0,1,0,7,0.9432,0.0139,38.713,False,True,EVT0005-HBEST,"src_prob=0.00, spatial=0.06, temporal=0.28, drift=0.23, behaviour=0.00, contradictions=0; final=0.18 (rank 1/5)"
EVT0005,EVT0005-C-480469227,480469227,2,0.1625,low,True,False,Fishing,0.0,0.0547,0.1999,0.2868,0.371,0.0,0.8864,0,1,0,7,0.9432,0.0958,39.467,False,False,EVT0005-HBEST,"src_prob=0.00, spatial=0.05, temporal=0.20, drift=0.29, behaviour=0.00, contradictions=0; final=0.16 (rank 2/5)"
EVT0005,EVT0005-C-624609674,624609674,3,0.0667,low,True,False,Tug,0.0,0.0002,0.0072,0.6177,0.5212,0.0,0.8864,1,0,0,7,0.9432,0.0056,109.734,False,False,EVT0005-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.62, behaviour=0.00, contradictions=1; final=0.07 (rank 3/5)"
EVT0005,EVT0005-C-425068991,425068991,4,0.0611,low,True,False,Fishing,0.0,0.0,0.001,0.6783,0.2398,0.0,0.8864,1,0,0,7,0.9432,0.0408,149.072,False,True,EVT0005-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.68, behaviour=0.00, contradictions=1; final=0.06 (rank 4/5)"
EVT0005,EVT0005-C-427951534,427951534,5,0.0203,low,True,False,Fishing,0.0,0.0008,0.0096,0.3692,0.2721,0.0,0.8864,1,0,0,7,0.9432,0.0203,89.99,False,False,EVT0005-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.37, behaviour=0.00, contradictions=1; final=0.02 (rank 5/5)"
EVT0006,EVT0006-C-701271671,701271671,1,0.7609,high,False,True,Tug,1.0,0.9256,0.9985,0.1916,0.6467,0.6102,0.9567,0,0,1,7,0.9784,0.6694,2.286,True,True,EVT0006-HBEST,"src_prob=1.00, spatial=0.93, temporal=1.00, drift=0.19, behaviour=0.61, contradictions=0; final=0.76 (rank 1/5)"
EVT0006,EVT0006-C-405267985,405267985,2,0.0915,low,False,False,Tug,0.0,0.0015,0.0375,0.6076,0.7994,0.0,0.9567,1,0,0,7,0.9784,0.0245,79.432,False,True,EVT0006-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.04, drift=0.61, behaviour=0.00, contradictions=1; final=0.09 (rank 2/5)"
EVT0006,EVT0006-C-666296434,666296434,3,0.067,low,False,False,Cargo,0.0,0.0002,0.0103,0.5717,0.4913,0.0,0.9567,1,0,0,7,0.9784,0.0463,106.453,False,False,EVT0006-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.57, behaviour=0.00, contradictions=1; final=0.07 (rank 3/5)"
EVT0006,EVT0006-C-741731333,741731333,4,0.0207,low,False,False,Passenger,0.0,0.0015,0.0392,0.1139,0.8274,0.0,0.9567,1,0,0,7,0.9784,0.0207,79.733,False,False,EVT0006-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.04, drift=0.11, behaviour=0.00, contradictions=1; final=0.02 (rank 4/5)"
EVT0006,EVT0006-C-387871080,387871080,5,0.0,low,False,False,Tanker,0.0,0.0001,0.0099,0.0666,0.4568,0.0,0.9567,1,0,0,7,0.9784,0.0,107.176,False,False,EVT0006-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.07, behaviour=0.00, contradictions=1; final=0.00 (rank 5/5)"
EVT0007,EVT0007-C-427951534,427951534,1,0.758,high,False,True,Fishing,1.0,0.9189,1.0,0.369,0.238,0.775,0.8832,0,0,1,7,0.9416,0.6903,4.789,True,True,EVT0007-HBEST,"src_prob=1.00, spatial=0.92, temporal=1.00, drift=0.37, behaviour=0.78, contradictions=0; final=0.76 (rank 1/5)"
EVT0007,EVT0007-C-624609674,624609674,2,0.0677,low,False,False,Tug,0.0,0.0,0.0,0.6494,0.4757,0.0,0.8832,1,0,0,7,0.9416,0.0062,238.496,False,True,EVT0007-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.65, behaviour=0.00, contradictions=1; final=0.07 (rank 2/5)"
EVT0007,EVT0007-C-425068991,425068991,3,0.0615,low,False,False,Fishing,0.0,0.0,0.0,0.6759,0.2661,0.0,0.8832,1,0,0,7,0.9416,0.0081,256.276,False,False,EVT0007-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.68, behaviour=0.00, contradictions=1; final=0.06 (rank 3/5)"
EVT0007,EVT0007-C-592609471,592609471,4,0.0534,low,False,False,Cargo,0.0,0.0003,0.0141,0.489,0.6097,0.0,0.8832,1,0,0,7,0.9416,0.0102,100.177,False,False,EVT0007-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.49, behaviour=0.00, contradictions=1; final=0.05 (rank 4/5)"
EVT0007,EVT0007-C-480469227,480469227,5,0.0432,low,False,False,Fishing,0.0,0.0395,0.081,0.3925,0.3414,0.0,0.8832,1,0,0,7,0.9416,0.0432,42.542,False,True,EVT0007-HBEST,"src_prob=0.00, spatial=0.04, temporal=0.08, drift=0.39, behaviour=0.00, contradictions=1; final=0.04 (rank 5/5)"
EVT0008,EVT0008-C-425068991,425068991,1,0.7716,high,False,True,Fishing,0.904,0.9241,0.9986,0.3259,0.8706,0.643,0.9473,0,0,1,7,0.9736,0.5146,7.712,True,False,EVT0008-HBEST,"src_prob=0.90, spatial=0.92, temporal=1.00, drift=0.33, behaviour=0.64, contradictions=0; final=0.77 (rank 1/5)"
EVT0008,EVT0008-C-394390438,394390438,2,0.257,low,False,False,Cargo,0.076,0.2594,0.2231,0.5173,0.274,0.0,0.9473,0,1,0,7,0.9736,0.0908,22.958,False,False,EVT0008-HBEST,"src_prob=0.08, spatial=0.26, temporal=0.22, drift=0.52, behaviour=0.00, contradictions=0; final=0.26 (rank 2/5)"
EVT0008,EVT0008-C-649261623,649261623,3,0.1662,low,False,False,Passenger,0.0,0.2224,0.1364,0.1718,0.1734,0.0,0.9473,0,1,0,7,0.9736,0.0885,24.804,False,False,EVT0008-HBEST,"src_prob=0.00, spatial=0.22, temporal=0.14, drift=0.17, behaviour=0.00, contradictions=0; final=0.17 (rank 3/5)"
EVT0008,EVT0008-C-527201014,527201014,4,0.0777,low,False,False,Passenger,0.0,0.0356,0.1974,0.4208,0.4979,0.0,0.9473,1,0,0,7,0.9736,0.0621,46.777,False,False,EVT0008-HBEST,"src_prob=0.00, spatial=0.04, temporal=0.20, drift=0.42, behaviour=0.00, contradictions=1; final=0.08 (rank 4/5)"
EVT0008,EVT0008-C-425372509,425372509,5,0.0156,low,False,False,Tug,0.0,0.0042,0.0563,0.1654,0.5251,0.0,0.9473,1,0,0,7,0.9736,0.0156,72.447,False,False,EVT0008-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.06, drift=0.17, behaviour=0.00, contradictions=1; final=0.02 (rank 5/5)"
EVT0009,EVT0009-C-387800812,387800812,1,0.6348,medium,False,True,Passenger,1.0,0.6516,0.85,0.0651,0.3123,0.6359,0.8952,0,1,0,7,0.9476,0.2796,10.433,True,True,EVT0009-HBEST,"src_prob=1.00, spatial=0.65, temporal=0.85, drift=0.07, behaviour=0.64, contradictions=0; final=0.63 (rank 1/5)"
EVT0009,EVT0009-C-387871080,387871080,2,0.3552,low,False,False,Tanker,0.116,0.4171,0.85,0.0861,0.4614,0.2303,0.8952,0,1,0,7,0.9476,0.0374,15.787,False,False,EVT0009-HBEST,"src_prob=0.12, spatial=0.42, temporal=0.85, drift=0.09, behaviour=0.23, contradictions=0; final=0.36 (rank 2/5)"
EVT0009,EVT0009-C-314502909,314502909,3,0.3178,low,False,False,Tanker,0.012,0.3882,0.85,0.1211,0.2038,0.2083,0.8952,0,1,0,7,0.9476,0.066,16.648,False,False,EVT0009-HBEST,"src_prob=0.01, spatial=0.39, temporal=0.85, drift=0.12, behaviour=0.21, contradictions=0; final=0.32 (rank 3/5)"
EVT0009,EVT0009-C-741731333,741731333,4,0.2518,low,False,False,Passenger,0.0,0.1052,0.4168,0.5403,0.6325,0.0,0.8952,0,1,0,7,0.9476,0.2054,32.312,False,False,EVT0009-HBEST,"src_prob=0.00, spatial=0.11, temporal=0.42, drift=0.54, behaviour=0.00, contradictions=0; final=0.25 (rank 4/5)"
EVT0009,EVT0009-C-405267985,405267985,5,0.0464,low,False,False,Tug,0.0,0.0039,0.0579,0.2865,0.9005,0.0,0.8952,1,0,0,7,0.9476,0.0464,71.822,False,False,EVT0009-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.06, drift=0.29, behaviour=0.00, contradictions=1; final=0.05 (rank 5/5)"
EVT0010,EVT0010-C-405267985,405267985,1,0.7741,high,False,True,Tug,1.0,0.5406,1.0,0.6142,0.8729,0.6271,0.967,0,1,0,7,0.9835,0.6889,10.965,True,True,EVT0010-HBEST,"src_prob=1.00, spatial=0.54, temporal=1.00, drift=0.61, behaviour=0.63, contradictions=0; final=0.77 (rank 1/5)"
EVT0010,EVT0010-C-666296434,666296434,2,0.0852,low,False,False,Cargo,0.0,0.0341,0.2331,0.4875,0.2998,0.0,0.967,1,0,0,7,0.9835,0.01,44.109,False,False,EVT0010-HBEST,"src_prob=0.00, spatial=0.03, temporal=0.23, drift=0.49, behaviour=0.00, contradictions=1; final=0.09 (rank 2/5)"
EVT0010,EVT0010-C-701271671,701271671,3,0.0752,low,False,False,Tug,0.0,0.0297,0.2118,0.3649,0.5445,0.0,0.967,1,0,0,7,0.9835,0.0488,45.801,False,False,EVT0010-HBEST,"src_prob=0.00, spatial=0.03, temporal=0.21, drift=0.36, behaviour=0.00, contradictions=1; final=0.08 (rank 3/5)"
EVT0010,EVT0010-C-387871080,387871080,4,0.0264,low,False,False,Tanker,0.0,0.0023,0.0458,0.2938,0.3619,0.0,0.967,1,0,0,7,0.9835,0.0247,76.557,False,False,EVT0010-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.05, drift=0.29, behaviour=0.00, contradictions=1; final=0.03 (rank 4/5)"
EVT0010,EVT0010-C-741731333,741731333,5,0.0017,low,False,False,Passenger,0.0,0.006,0.0711,0.0571,0.4806,0.0,0.967,1,0,0,7,0.9835,0.0017,65.052,False,True,EVT0010-HBEST,"src_prob=0.00, spatial=0.01, temporal=0.07, drift=0.06, behaviour=0.00, contradictions=1; final=0.00 (rank 5/5)"
EVT0011,EVT0011-C-611252685,611252685,1,0.2201,low,True,True,Cargo,0.0,0.1429,0.156,0.5053,0.4769,0.0,0.9548,0,1,0,7,0.9774,0.1729,28.529,False,True,EVT0011-HBEST,"src_prob=0.00, spatial=0.14, temporal=0.16, drift=0.51, behaviour=0.00, contradictions=0; final=0.22 (rank 1/5)"
EVT0011,EVT0011-C-692133145,692133145,2,0.0472,low,True,False,Fishing,0.0,0.0007,0.0114,0.5612,0.1174,0.0,0.9548,1,0,0,7,0.9774,0.0155,92.422,False,True,EVT0011-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.56, behaviour=0.00, contradictions=1; final=0.05 (rank 2/5)"
EVT0011,EVT0011-C-554315731,554315731,3,0.0317,low,True,False,Tug,0.0,0.0016,0.0331,0.1828,0.8676,0.0,0.9548,1,0,0,7,0.9774,0.0173,82.635,False,False,EVT0011-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.03, drift=0.18, behaviour=0.00, contradictions=1; final=0.03 (rank 3/5)"
EVT0011,EVT0011-C-725796285,725796285,4,0.0144,low,True,False,Fishing,0.0,0.0009,0.017,0.1903,0.5412,0.0,0.9548,1,0,0,7,0.9774,0.0144,89.918,False,False,EVT0011-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.02, drift=0.19, behaviour=0.00, contradictions=1; final=0.01 (rank 4/5)"
EVT0011,EVT0011-C-329813634,329813634,5,0.0,low,True,False,Passenger,0.0,0.0017,0.0126,0.0267,0.2945,0.0,0.9548,1,0,0,7,0.9774,0.0,81.614,False,False,EVT0011-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.03, behaviour=0.00, contradictions=1; final=0.00 (rank 5/5)"
EVT0012,EVT0012-C-624609674,624609674,1,0.7297,high,False,True,Tug,0.988,0.7172,0.85,0.2683,0.5088,0.8019,0.9424,0,1,0,7,0.9712,0.6532,8.881,True,True,EVT0012-HBEST,"src_prob=0.99, spatial=0.72, temporal=0.85, drift=0.27, behaviour=0.80, contradictions=0; final=0.73 (rank 1/5)"
EVT0012,EVT0012-C-425068991,425068991,2,0.0765,low,False,False,Fishing,0.0,0.0,0.0,0.7249,0.2924,0.0,0.9424,1,0,0,7,0.9712,0.0095,280.278,False,False,EVT0012-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.72, behaviour=0.00, contradictions=1; final=0.08 (rank 2/5)"
EVT0012,EVT0012-C-427951534,427951534,3,0.067,low,False,False,Fishing,0.0,0.0,0.0,0.6794,0.2327,0.0,0.9424,1,0,0,7,0.9712,0.0024,304.95,False,False,EVT0012-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.68, behaviour=0.00, contradictions=1; final=0.07 (rank 3/5)"
EVT0012,EVT0012-C-592609471,592609471,4,0.0646,low,False,False,Cargo,0.0,0.0,0.0003,0.542,0.595,0.0,0.9424,1,0,0,7,0.9712,0.0057,174.194,False,False,EVT0012-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.54, behaviour=0.00, contradictions=1; final=0.06 (rank 4/5)"
EVT0012,EVT0012-C-480469227,480469227,5,0.0589,low,False,False,Fishing,0.0,0.0,0.0001,0.5879,0.3414,0.0,0.9424,1,0,0,7,0.9712,0.0589,182.966,False,False,EVT0012-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.59, behaviour=0.00, contradictions=1; final=0.06 (rank 5/5)"
